domain,epochs,iter,样本数,F1,EM
bridge6_macbert_0.2,10,2,16,0.19606,0.10981999999999999
bridge6_macbert_0.2,10,2,32,0.3154,0.21564999999999998
bridge6_macbert_0.2,10,2,64,0.6097699999999999,0.47056000000000003
bridge6_macbert_0.2,10,2,128,0.71786,0.5803799999999999
bridge6_macbert_0.2,10,2,256,0.77795,0.64274
bridge6_macbert_0.2,10,2,512,0.82616,0.6948700000000001
bridge6_macbert_0.2,10,2,1024,0.85319,0.7327199999999999
bridge6_macbert_0.2,10,2,2048,0.8811899999999999,0.77966
bridge6_macbert_0.2,10,2,2844,0.91637,0.84439
bridge6_macbert_0.4,10,2,16,0.5864,0.45211000000000007
bridge6_macbert_0.4,10,2,32,0.62825,0.48224999999999996
bridge6_macbert_0.4,10,2,64,0.6873,0.55445
bridge6_macbert_0.4,10,2,128,0.7455199999999998,0.6084200000000001
bridge6_macbert_0.4,10,2,256,0.79772,0.6698500000000001
bridge6_macbert_0.4,10,2,512,0.8314699999999998,0.7021
bridge6_macbert_0.4,10,2,1024,0.8562999999999998,0.7388
bridge6_macbert_0.4,10,2,2048,0.88339,0.7817799999999999
bridge6_macbert_0.4,10,2,2844,0.9161199999999999,0.84533
bridge6_macbert_0.6,10,2,16,0.6135900000000001,0.4759399999999999
bridge6_macbert_0.6,10,2,32,0.66694,0.52103
bridge6_macbert_0.6,10,2,64,0.71263,0.5745199999999999
bridge6_macbert_0.6,10,2,128,0.7686,0.6334099999999999
bridge6_macbert_0.6,10,2,256,0.80914,0.6782800000000001
bridge6_macbert_0.6,10,2,512,0.84062,0.71168
bridge6_macbert_0.6,10,2,1024,0.8609,0.74204
bridge6_macbert_0.6,10,2,2048,0.8847100000000001,0.78318
bridge6_macbert_0.6,10,2,2844,0.9183999999999999,0.8495300000000002
bridge6_macbert_0.8,10,2,16,0.62173,0.4815499999999999
bridge6_macbert_0.8,10,2,32,0.6858200000000001,0.52834
bridge6_macbert_0.8,10,2,64,0.7295,0.5875799999999999
bridge6_macbert_0.8,10,2,128,0.78243,0.6473800000000001
bridge6_macbert_0.8,10,2,256,0.81723,0.68521
bridge6_macbert_0.8,10,2,512,0.8463900000000001,0.7175399999999998
bridge6_macbert_0.8,10,2,1024,0.8610900000000001,0.7425200000000001
bridge6_macbert_0.8,10,2,2048,0.88591,0.78411
bridge6_macbert_0.8,10,2,2844,0.9179699999999998,0.8488200000000001
bridgeall_random,10,2,16,0.12527000000000002,0.021490000000000002
bridgeall_random,10,2,32,0.16760000000000003,0.06168
bridgeall_random,10,2,64,0.37412,0.24626
bridgeall_random,10,2,128,0.64747,0.5069899999999999
bridgeall_random,10,2,256,0.7532000000000002,0.6207999999999999
bridgeall_random,10,2,512,0.80946,0.6794399999999998
bridgeall_random,10,2,1024,0.8487199999999999,0.7292099999999999
bridgeall_random,10,2,2048,0.8816899999999999,0.77873
bridgeall_random,10,2,2844,0.9145700000000001,0.8432200000000002
bridgebart_finetune,10,2,16,0.09051000000000001,0.023370000000000002
bridgebart_finetune,10,2,32,0.13365000000000002,0.06123000000000001
bridgebart_finetune,10,2,64,0.23384999999999997,0.14604
bridgebart_finetune,10,2,128,0.6176100000000001,0.48389
bridgebart_finetune,10,2,256,0.75437,0.6130699999999999
bridgebart_finetune,10,2,512,0.81573,0.68084
bridgebart_finetune,10,2,1024,0.84084,0.7189300000000001
bridgebart_finetune,10,2,2048,0.87934,0.7754399999999999
bridgebart_finetune,10,2,2844,0.9208200000000002,0.84906
bridgefinetune,10,2,16,0.10511999999999999,0.041589999999999995
bridgefinetune,10,2,32,0.14447000000000002,0.058410000000000004
bridgefinetune,10,2,64,0.28717,0.18295
bridgefinetune,10,2,128,0.6264399999999999,0.4906600000000001
bridgefinetune,10,2,256,0.7219599999999999,0.59648
bridgefinetune,10,2,512,0.78794,0.65583
bridgefinetune,10,2,1024,0.83201,0.71729
bridgefinetune,10,2,2048,0.8686400000000001,0.77008
bridgefinetune,10,2,2844,0.9139099999999999,0.8451000000000001
bridgemacbert_finetune,10,2,16,0.09996000000000001,0.01845
bridgemacbert_finetune,10,2,32,0.15096,0.06567
bridgemacbert_finetune,10,2,64,0.24175,0.1423
bridgemacbert_finetune,10,2,128,0.6627299999999999,0.51285
bridgemacbert_finetune,10,2,256,0.77614,0.6411200000000001
bridgemacbert_finetune,10,2,512,0.8265400000000002,0.6941499999999999
bridgemacbert_finetune,10,2,1024,0.85154,0.73202
bridgemacbert_finetune,10,2,2048,0.88314,0.7806
bridgemacbert_finetune,10,2,2844,0.9129999999999999,0.8423
bridgeno_postfix,10,2,16,0.5991000000000001,0.46403
bridgeno_postfix,10,2,32,0.67033,0.52429
bridgeno_postfix,10,2,64,0.71884,0.57733
