domain,epochs,iter,样本数,F1,EM
bridgeours,10,1,2048,0.8813,0.7897
bridgeours,10,1,512,0.8238,0.6963
bridgeours,10,1,1024,0.8331,0.6963
bridgeours,10,1,16,0.5849,0.4463
bridgeours,10,1,128,0.7372,0.5958
bridgeours,10,1,2844,0.9098,0.8411
bridgeours,10,1,256,0.7737,0.6472
bridgeours,10,1,64,0.6431,0.5070
bridgeours,10,1,32,0.5892,0.4603
bridgeours,10,1,2048,0.8894,0.7850
bridgeours,10,1,512,0.8287,0.6963
bridgeours,10,1,1024,0.8752,0.7570
bridgeours,10,1,16,0.5334,0.3949
bridgeours,10,1,128,0.7051,0.5421
bridgeours,10,1,256,0.7597,0.6192
bridgeours,10,1,64,0.6745,0.5187
bridgeours,10,1,2844,0.9099,0.8364
bridgeours,10,1,32,0.6288,0.4860
bridgeours,10,1,2048,0.8900,0.7967
bridgeours,10,1,512,0.7984,0.6682
bridgeours,10,1,1024,0.8392,0.7243
bridgeours,10,1,2844,0.9191,0.8481
bridgeours,10,1,16,0.5340,0.3972
bridgeours,10,1,128,0.7238,0.5818
bridgeours,10,1,256,0.7676,0.6425
bridgeours,10,1,64,0.5974,0.4720
bridgeours,10,1,32,0.5683,0.4393
bridgeours,10,1,2048,0.8674,0.7687
bridgeours,10,1,2844,0.9184,0.8458
bridgeours,10,1,512,0.7905,0.6495
bridgeours,10,1,1024,0.8422,0.7290
bridgeours,10,1,16,0.4957,0.3738
bridgeours,10,1,128,0.7367,0.5981
bridgeours,10,1,256,0.7598,0.6332
bridgeours,10,1,64,0.6428,0.5210
bridgeours,10,1,32,0.5871,0.4369
bridgeours,10,1,2048,0.8658,0.7570
bridgeours,10,1,2844,0.9247,0.8575
bridgeours,10,1,512,0.8326,0.6986
bridgeours,10,1,1024,0.8500,0.7477
bridgeours,10,1,16,0.5577,0.4159
bridgeours,10,1,128,0.7465,0.6192
bridgeours,10,1,256,0.7586,0.6192
bridgeours,10,1,64,0.6679,0.5421
bridgeours,10,1,32,0.5922,0.4439
bridgeours,10,1,2844,0.9261,0.8575
bridgeours,10,1,2048,0.8772,0.7757
bridgeours,10,1,512,0.8052,0.6589
bridgeours,10,1,1024,0.8582,0.7407
bridgeours,10,1,16,0.4869,0.3692
bridgeours,10,1,128,0.7055,0.5234
bridgeours,10,1,256,0.7866,0.6542
bridgeours,10,1,64,0.6512,0.5140
bridgeours,10,1,32,0.5493,0.4089
bridgeours,10,1,2048,0.8893,0.7991
bridgeours,10,1,2844,0.9194,0.8528
bridgeours,10,1,512,0.7977,0.6589
bridgeours,10,1,1024,0.8270,0.7150
bridgeours,10,1,16,0.5166,0.3668
bridgeours,10,1,128,0.7357,0.5935
bridgeours,10,1,256,0.7582,0.6308
bridgeours,10,1,64,0.6847,0.5514
bridgeours,10,1,32,0.5571,0.3972
bridgeours,10,1,2048,0.8835,0.7780
bridgeours,10,1,512,0.8120,0.6893
bridgeours,10,1,1024,0.8480,0.7266
bridgeours,10,1,16,0.5187,0.3832
bridgeours,10,1,128,0.6885,0.5537
bridgeours,10,1,256,0.7610,0.6238
bridgeours,10,1,64,0.6764,0.5257
bridgeours,10,1,2844,0.9121,0.8481
bridgeours,10,1,32,0.5810,0.4673
bridgeours,10,1,2048,0.8726,0.7687
bridgeours,10,1,512,0.8105,0.6682
bridgeours,10,1,1024,0.8473,0.7383
bridgeours,10,1,16,0.5543,0.4042
bridgeours,10,1,128,0.7355,0.5911
bridgeours,10,1,256,0.7498,0.6028
bridgeours,10,1,64,0.6962,0.5350
bridgeours,10,1,2844,0.9109,0.8458
bridgeours,10,1,32,0.5435,0.4042
bridgeours,10,1,2048,0.8712,0.7640
bridgeours,10,1,512,0.7992,0.6682
bridgeours,10,1,1024,0.8285,0.7126
bridgeours,10,1,16,0.4786,0.3341
bridgeours,10,1,128,0.7201,0.5701
bridgeours,10,1,256,0.7636,0.6238
bridgeours,10,1,2844,0.9238,0.8458
bridgeours,10,1,64,0.6898,0.5327
bridgeours,10,1,32,0.5970,0.4416
bridgeours,10,2,2048,0.8697,0.7827
bridgeours,10,2,512,0.8282,0.7056
bridgeours,10,2,1024,0.8310,0.6986
bridgeours,10,2,16,0.5832,0.4369
bridgeours,10,2,128,0.7347,0.5841
bridgeours,10,2,2844,0.9186,0.8481
bridgeours,10,2,256,0.7710,0.6472
bridgeours,10,2,64,0.6621,0.5234
bridgeours,10,2,32,0.5907,0.4533
bridgeours,10,2,2048,0.8862,0.7827
bridgeours,10,2,512,0.8173,0.6916
bridgeours,10,2,1024,0.8796,0.7640
bridgeours,10,2,16,0.5097,0.3621
bridgeours,10,2,128,0.7224,0.5724
bridgeours,10,2,256,0.7606,0.6308
bridgeours,10,2,64,0.6361,0.4813
bridgeours,10,2,2844,0.9209,0.8575
bridgeours,10,2,32,0.6100,0.4579
bridgeours,10,2,2048,0.8866,0.7944
bridgeours,10,2,512,0.7934,0.6612
bridgeours,10,2,1024,0.8309,0.7056
bridgeours,10,2,2844,0.9283,0.8598
bridgeours,10,2,16,0.4967,0.3645
bridgeours,10,2,128,0.7345,0.5911
bridgeours,10,2,256,0.7504,0.6215
bridgeours,10,2,64,0.6230,0.5047
bridgeours,10,2,32,0.5632,0.4229
bridgeours,10,2,2048,0.8714,0.7664
bridgeours,10,2,2844,0.9150,0.8435
bridgeours,10,2,512,0.8016,0.6752
bridgeours,10,2,1024,0.8473,0.7383
bridgeours,10,2,16,0.4776,0.3411
bridgeours,10,2,128,0.7184,0.5748
bridgeours,10,2,256,0.7539,0.6238
bridgeours,10,2,64,0.6245,0.4977
bridgeours,10,2,32,0.5593,0.4065
bridgeours,10,2,2048,0.8663,0.7570
bridgeours,10,2,2844,0.9168,0.8528
bridgeours,10,2,512,0.8233,0.6893
bridgeours,10,2,1024,0.8343,0.7220
bridgeours,10,2,16,0.5096,0.3785
bridgeours,10,2,128,0.7067,0.5771
bridgeours,10,2,256,0.7563,0.6121
bridgeours,10,2,64,0.6505,0.5187
bridgeours,10,2,32,0.5705,0.4393
bridgeours,10,2,2844,0.9343,0.8668
bridgeours,10,2,2048,0.8809,0.7780
bridgeours,10,2,512,0.8053,0.6565
bridgeours,10,2,1024,0.8524,0.7336
bridgeours,10,2,16,0.4632,0.3528
bridgeours,10,2,128,0.7298,0.5771
bridgeours,10,2,256,0.7701,0.6285
bridgeours,10,2,64,0.6535,0.5304
bridgeours,10,2,32,0.5803,0.4439
bridgeours,10,2,2048,0.8794,0.7897
bridgeours,10,2,2844,0.9137,0.8435
bridgeours,10,2,512,0.7946,0.6589
bridgeours,10,2,1024,0.8224,0.6963
bridgeours,10,2,16,0.4820,0.3271
bridgeours,10,2,128,0.7019,0.5584
bridgeours,10,2,256,0.7430,0.6215
bridgeours,10,2,64,0.6637,0.5327
bridgeours,10,2,32,0.4942,0.3528
bridgeours,10,2,2048,0.8821,0.7757
bridgeours,10,2,512,0.8060,0.6869
bridgeours,10,2,1024,0.8330,0.7150
bridgeours,10,2,16,0.4737,0.3364
bridgeours,10,2,128,0.6695,0.5234
bridgeours,10,2,256,0.7521,0.6308
bridgeours,10,2,64,0.6576,0.5140
bridgeours,10,2,2844,0.9193,0.8551
bridgeours,10,2,32,0.5803,0.4579
bridgeours,10,2,2048,0.8675,0.7640
bridgeours,10,2,512,0.8025,0.6589
bridgeours,10,2,1024,0.8438,0.7173
bridgeours,10,2,16,0.5394,0.4019
bridgeours,10,2,128,0.7168,0.5794
bridgeours,10,2,256,0.7402,0.5935
bridgeours,10,2,64,0.6772,0.5140
bridgeours,10,2,2844,0.9230,0.8551
bridgeours,10,2,32,0.5411,0.4112
bridgeours,10,2,2048,0.8789,0.7804
bridgeours,10,2,512,0.7899,0.6565
bridgeours,10,2,1024,0.8352,0.7290
bridgeours,10,2,16,0.4615,0.3201
bridgeours,10,2,128,0.7127,0.5631
bridgeours,10,2,256,0.7537,0.6192
bridgeours,10,2,2844,0.9275,0.8575
bridgeours,10,2,64,0.6637,0.5210
bridgeours,10,2,32,0.5337,0.3855
bridgeours,10,3,2048,0.8699,0.7710
bridgeours,10,3,512,0.8182,0.7009
bridgeours,10,3,1024,0.8221,0.6893
bridgeours,10,3,16,0.5480,0.4089
bridgeours,10,3,128,0.7362,0.6028
bridgeours,10,3,2844,0.9261,0.8621
bridgeours,10,3,256,0.7698,0.6495
bridgeours,10,3,64,0.6411,0.4883
bridgeours,10,3,32,0.5798,0.4556
bridgeours,10,3,2048,0.8864,0.7850
